Postcode,Borough,Neighbourhood
M1B,Scarborough,"Rouge\n, Malvern\n"
M1C,Scarborough,"Highland Creek\n,     Rouge Hill\n,     Port U..."
M1E,Scarborough,"Guildwood\n, Morningside\n,   West Hill\n"
M1G,Scarborough,Woburn\n
M1H,Scarborough,Cedarbrae\n
M1J,Scarborough,Scarborough Village\n
M1K,Scarborough,"East Birchmount Park\n,              Ionview\n..."
M1L,Scarborough,"Clairlea\n, Golden Mile\n,    Oakridge\n"
M1M,Scarborough,"Cliffcrest\n,                Cliffside\n, Scar..."
M1N,Scarborough,"Birch Cliff\n, Cliffside West\n"
M1P,Scarborough,"Dorset Park\n, Scarborough Town Centre\n,     ..."
M1R,Scarborough,"Maryvale\n,  Wexford\n"
M1S,Scarborough,Agincourt\n
M1T,Scarborough,"Clarks Corners\n,       Sullivan\n,  Tam O'Sha..."
M1V,Scarborough,"Agincourt North\n, L'Amoreaux East\n,        M..."
M1W,Scarborough,"L'Amoreaux West\n,    Steeles West\n"
M1X,Scarborough,Upper Rouge\n
M2H,North York,Hillcrest Village\n
M2J,North York,"Fairview\n, Henry Farm\n,     Oriole\n"
M2K,North York,Bayview Village\n
M2L,North York,"Silver Hills\n,   York Mills\n"
M2M,North York,"Newtonbrook\n,  Willowdale\n"
M2N,North York,Willowdale South\n
M2P,North York,York Mills West\n
M2R,North York,Willowdale West\n
M3A,North York,Parkwoods\n
M3B,North York,Don Mills North\n
M3C,North York,"Flemingdon Park\n, Don Mills South\n"
M3H,North York,"Bathurst Manor\n, Downsview North\n,  Wilson H..."
M3J,North York,"Northwood Park\n, York University\n"
M3K,North York,"CFB Toronto\n, Downsview East\n"
M3L,North York,Downsview West\n
M3M,North York,Downsview Central\n
M3N,North York,Downsview Northwest\n
M4A,North York,Victoria Village\n
M4B,East York,"Woodbine Gardens\n,    Parkview Hill\n"
M4C,East York,Woodbine Heights\n
M4E,East Toronto,The Beaches\n
M4G,East York,Leaside\n
M4H,East York,Thorncliffe Park\n
M4J,East York,East Toronto\n
M4K,East Toronto,"The Danforth West\n,         Riverdale\n"
M4L,East Toronto,"The Beaches West\n,     India Bazaar\n"
M4M,East Toronto,Studio District\n
M4N,Central Toronto,Lawrence Park\n
M4P,Central Toronto,Davisville North\n
M4R,Central Toronto,North Toronto West\n
M4S,Central Toronto,Davisville\n
M4T,Central Toronto,"Moore Park\n, Summerhill East\n"
M4V,Central Toronto,"Deer Park\n,  Forest Hill SE\n,       Rathnell..."
M4W,Downtown Toronto,Rosedale\n
M4X,Downtown Toronto,"Cabbagetown\n, St. James Town\n"
M4Y,Downtown Toronto,Church and Wellesley\n
M5A,Downtown Toronto,"Harbourfront\n,  Regent Park\n"
M5B,Downtown Toronto,"Ryerson\n, Garden District\n"
M5C,Downtown Toronto,St. James Town\n
M5E,Downtown Toronto,Berczy Park\n
M5G,Downtown Toronto,Central Bay Street\n
M5H,Downtown Toronto,"Adelaide\n,     King\n, Richmond\n"
M5J,Downtown Toronto,"Harbourfront East\n,   Toronto Islands\n,     ..."
M5K,Downtown Toronto,"Design Exchange\n, Toronto Dominion Centre\n"
M5L,Downtown Toronto,"Commerce Court\n, Victoria Hotel\n"
M5M,North York,"Bedford Park\n, Lawrence Manor East\n"
M5N,Central Toronto,Roselawn\n
M5P,Central Toronto,"Forest Hill North\n,  Forest Hill West\n"
M5R,Central Toronto,"The Annex\n, North Midtown\n,     Yorkville\n"
M5S,Downtown Toronto,"Harbord\n, University of Toronto\n"
M5T,Downtown Toronto,"Chinatown\n,       Grange Park\n, Kensington M..."
M5V,Downtown Toronto,"CN Tower\n,     Bathurst Quay\n,    Island air..."
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade\n
M5X,Downtown Toronto,"First Canadian Place\n,     Underground city\n"
M6A,North York,"Lawrence Heights\n,   Lawrence Manor\n"
M6B,North York,Glencairn\n
M6C,York,Humewood-Cedarvale\n
M6E,York,Caledonia-Fairbanks\n
M6G,Downtown Toronto,Christie\n
M6H,West Toronto,"Dovercourt Village\n,           Dufferin\n"
M6J,West Toronto,"Little Portugal\n,         Trinity\n"
M6K,West Toronto,"Brockton\n, Exhibition Place\n, Parkdale Villa..."
M6L,North York,"Maple Leaf Park\n,      North Park\n,     Upwo..."
M6M,York,"Del Ray\n,    Keelsdale\n, Mount Dennis\n,  Si..."
M6N,York,"The Junction North\n,          Runnymede\n"
M6P,West Toronto,"High Park\n, The Junction South\n"
M6R,West Toronto,"Parkdale\n, Roncesvalles\n"
M6S,West Toronto,"Runnymede\n,   Swansea\n"
M7R,Mississauga,Canada Post Gateway Processing Centre\n
M7Y,East Toronto,Business reply mail Processing Centre969 Easte...
M8V,Etobicoke,"Humber Bay Shores\n,      Mimico South\n,     ..."
M8W,Etobicoke,"Alderwood\n, Long Branch\n"
M8X,Etobicoke,"The Kingsway\n, Montgomery Road\n,  Old Mill N..."
M8Y,Etobicoke,"Humber Bay\n,         King's Mill Park\n, King..."
M8Z,Etobicoke,"Kingsway Park South West\n,                Mim..."
M9A,Etobicoke,Islington Avenue\n
M9B,Etobicoke,"Cloverdale\n,        Islington\n,     Martin G..."
M9C,Etobicoke,"Bloordale Gardens\n,          Eringate\n,     ..."
M9L,North York,Humber Summit\n
M9M,North York,"Emery\n, Humberlea\n"
M9N,York,Weston\n
M9P,Etobicoke,Westmount\n
M9R,Etobicoke,"Kingsview Village\n, Martin Grove Gardens\n,  ..."
M9V,Etobicoke,"Albion Gardens\n, Beaumond Heights\n,       Hu..."
M9W,Etobicoke,Northwest\n
