Postal Code,Borough,Neighbourhood,Latitude,Longitude
M1B,Scarborough,"Rouge\n, Malvern\n",43.806686299999996,-79.19435340000001
M1C,Scarborough,"Highland Creek\n,     Rouge Hill\n,     Port U...",43.7845351,-79.16049709999999
M1E,Scarborough,"Guildwood\n, Morningside\n,   West Hill\n",43.7635726,-79.1887115
M1G,Scarborough,Woburn\n,43.7709921,-79.21691740000001
M1H,Scarborough,Cedarbrae\n,43.773136,-79.23947609999999
M1J,Scarborough,Scarborough Village\n,43.7447342,-79.23947609999999
M1K,Scarborough,"East Birchmount Park\n,              Ionview\n...",43.7279292,-79.26202940000002
M1L,Scarborough,"Clairlea\n, Golden Mile\n,    Oakridge\n",43.711111700000004,-79.2845772
M1M,Scarborough,"Cliffcrest\n,                Cliffside\n, Scar...",43.716316,-79.23947609999999
M1N,Scarborough,"Birch Cliff\n, Cliffside West\n",43.692657000000004,-79.2648481
M1P,Scarborough,"Dorset Park\n, Scarborough Town Centre\n,     ...",43.7574096,-79.27330400000001
M1R,Scarborough,"Maryvale\n,  Wexford\n",43.750071500000004,-79.2958491
M1S,Scarborough,Agincourt\n,43.7942003,-79.26202940000002
M1T,Scarborough,"Clarks Corners\n,       Sullivan\n,  Tam O'Sha...",43.7816375,-79.3043021
M1V,Scarborough,"Agincourt North\n, L'Amoreaux East\n,        M...",43.8152522,-79.2845772
M1W,Scarborough,"L'Amoreaux West\n,    Steeles West\n",43.799525200000005,-79.3183887
M1X,Scarborough,Upper Rouge\n,43.836124700000006,-79.20563609999999
M2H,North York,Hillcrest Village\n,43.8037622,-79.3634517
M2J,North York,"Fairview\n, Henry Farm\n,     Oriole\n",43.7785175,-79.3465557
M2K,North York,Bayview Village\n,43.7869473,-79.385975
M2L,North York,"Silver Hills\n,   York Mills\n",43.7574902,-79.37471409999999
M2M,North York,"Newtonbrook\n,  Willowdale\n",43.789053,-79.40849279999999
M2N,North York,Willowdale South\n,43.7701199,-79.40849279999999
M2P,North York,York Mills West\n,43.752758299999996,-79.4000493
M2R,North York,Willowdale West\n,43.7827364,-79.4422593
M3A,North York,Parkwoods\n,43.7532586,-79.3296565
M3B,North York,Don Mills North\n,43.745905799999996,-79.352188
M3C,North York,"Flemingdon Park\n, Don Mills South\n",43.72589970000001,-79.340923
M3H,North York,"Bathurst Manor\n, Downsview North\n,  Wilson H...",43.7543283,-79.4422593
M3J,North York,"Northwood Park\n, York University\n",43.7679803,-79.48726190000001
M3K,North York,"CFB Toronto\n, Downsview East\n",43.737473200000004,-79.46476329999999
M3L,North York,Downsview West\n,43.7390146,-79.5069436
M3M,North York,Downsview Central\n,43.7284964,-79.49569740000001
M3N,North York,Downsview Northwest\n,43.7616313,-79.52099940000001
M4A,North York,Victoria Village\n,43.725882299999995,-79.31557159999998
M4B,East York,"Woodbine Gardens\n,    Parkview Hill\n",43.7063972,-79.309937
M4C,East York,Woodbine Heights\n,43.695343900000005,-79.3183887
M4E,East Toronto,The Beaches\n,43.67635739999999,-79.2930312
M4G,East York,Leaside\n,43.7090604,-79.3634517
M4H,East York,Thorncliffe Park\n,43.7053689,-79.34937190000001
M4J,East York,East Toronto\n,43.685347,-79.3381065
M4K,East Toronto,"The Danforth West\n,         Riverdale\n",43.6795571,-79.352188
M4L,East Toronto,"The Beaches West\n,     India Bazaar\n",43.6689985,-79.31557159999998
M4M,East Toronto,Studio District\n,43.6595255,-79.340923
M4N,Central Toronto,Lawrence Park\n,43.7280205,-79.3887901
M4P,Central Toronto,Davisville North\n,43.7127511,-79.3901975
M4R,Central Toronto,North Toronto West\n,43.7153834,-79.40567840000001
M4S,Central Toronto,Davisville\n,43.7043244,-79.3887901
M4T,Central Toronto,"Moore Park\n, Summerhill East\n",43.6895743,-79.38315990000001
M4V,Central Toronto,"Deer Park\n,  Forest Hill SE\n,       Rathnell...",43.68641229999999,-79.4000493
M4W,Downtown Toronto,Rosedale\n,43.6795626,-79.37752940000001
M4X,Downtown Toronto,"Cabbagetown\n, St. James Town\n",43.667967,-79.3676753
M4Y,Downtown Toronto,Church and Wellesley\n,43.6658599,-79.38315990000001
M5A,Downtown Toronto,"Harbourfront\n,  Regent Park\n",43.6542599,-79.3606359
M5B,Downtown Toronto,"Ryerson\n, Garden District\n",43.6571618,-79.37893709999999
M5C,Downtown Toronto,St. James Town\n,43.6514939,-79.3754179
M5E,Downtown Toronto,Berczy Park\n,43.644770799999996,-79.3733064
M5G,Downtown Toronto,Central Bay Street\n,43.6579524,-79.3873826
M5H,Downtown Toronto,"Adelaide\n,     King\n, Richmond\n",43.65057120000001,-79.3845675
M5J,Downtown Toronto,"Harbourfront East\n,   Toronto Islands\n,     ...",43.6408157,-79.38175229999999
M5K,Downtown Toronto,"Design Exchange\n, Toronto Dominion Centre\n",43.6471768,-79.38157640000001
M5L,Downtown Toronto,"Commerce Court\n, Victoria Hotel\n",43.6481985,-79.37981690000001
